id,object,group,description,kind,path
12553,Person,Presets,Match CA / PA,Lua,Person > > Presets > > General > > Match CA / PA
12674,Person,Presets,Extend Contract Length by X Years,Lua,Person > > Presets > > General > > Extend Contract Length by X Years
12585,Person,Presets,Extend Contract Length by 5 Years,Lua,Person > > Presets > > General > > Extend Contract Length by 5 Years
12555,Person,Presets,Extend Contract Length by 50 Years,Lua,Person > > Presets > > General > > Extend Contract Length by 50 Years
17988,Person,Presets,Adjust Salary to Nation's Weekly Wage Values by CA,Lua,Person > > Presets > > General > > Adjust Salary to Nation's Weekly Wage Values by CA
18909,Person,Presets,Adjust Salary to Nation's Weekly Wage Values by Reputation,Lua,Person > > Presets > > General > > Adjust Salary to Nation's Weekly Wage Values by Reputation
18906,Person,Presets,Cut Salary by X%,Lua,Person > > Presets > > General > > Cut Salary by X%
18907,Person,Presets,Cut Salary by 50%,Lua,Person > > Presets > > General > > Cut Salary by 50%
18908,Person,Presets,Cut Salary by 75%,Lua,Person > > Presets > > General > > Cut Salary by 75%
23899,Person,Presets,Remove Bonus or Clause,Lua,Person > > Presets > > General > > Remove Bonus or Clause
23848,Person,Presets,Remove All Release Clauses,Lua,Person > > Presets > > General > > Remove All Release Clauses
23865,Person,Presets,Remove Exploring Options Clause,Lua,Person > > Presets > > General > > Remove Exploring Options Clause
23898,Person,Presets,Remove Match Highest Earner Clause,Lua,Person > > Presets > > General > > Remove Match Highest Earner Clause
12551,Person,Presets,Set Contract Start Date to Current Date,Lua,Person > > Presets > > General > > Set Contract Start Date to Current Date
12628,Person,Presets,Set Contract to Expired,Lua,Person > > Presets > > General > > Set Contract to Expired
20191,Person,Presets,Lifetime Contract,Lua,Person > > Presets > > General > > Lifetime Contract
18098,Person,Presets,Terminate Contract,Lua,Person > > Presets > > General > > Terminate Contract
18099,Person,Presets,Terminate Loan,Lua,Person > > Presets > > General > > Terminate Loan
17771,Person,Presets,Cancel All Transfer Offers,Lua,Person > > Presets > > General > > Cancel All Transfer Offers
13015,Person,Presets,Open in Dissect Data,Lua,Person > > Presets > > General > > Open in Dissect Data
23649,Person,Presets,Remove All Bans,Lua,Person > > Presets > > Player > > Remove All Bans
13045,Person,Presets,Remove All Injuries,Lua,Person > > Presets > > Player > > Remove All Injuries
17810,Person,Presets,Remove All Unhappiness,Lua,Person > > Presets > > Player > > Remove All Unhappiness
11399,Person,Presets,Maximise Existing Training Happiness,Lua,Person > > Presets > > Player > > Maximise Existing Training Happiness
17989,Person,Presets,Improve Hidden Attributes,Lua,Person > > Presets > > Player > > Improve Hidden Attributes
20110,Person,Presets,Register Player for X Competition,Lua,Person > > Presets > > Player > > Register Player for X Competition
20209,Person,Presets,Register Player for Domestic Division,Lua,Person > > Presets > > Player > > Register Player for Domestic Division
20175,Person,Presets,Register Player for UEFA,Lua,Person > > Presets > > Player > > Register Player for UEFA
23920,Person,Presets,Remove All Traits,Lua,Person > > Presets > > Player > > Remove All Traits
24384,Person,Presets,Improve Agent - Club Manager Relationship,Lua,Person > > Presets > > Player > > Improve Agent - Club Manager Relationship
24385,Person,Presets,Improve Agent - Human Manager Relationship,Lua,Person > > Presets > > Player > > Improve Agent - Human Manager Relationship
13048,Person,Presets,Role Scores,Lua,Person > > Presets > > Player > > Role Scores
19107,Person,Presets,Amadeo Carrizo (24 years old) - ARG - 162/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Amadeo Carrizo (24 years old) - ARG - 162/182
19119,Person,Presets,Andreas Köpke (20 years old) - GER - 131/176,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Andreas Köpke (20 years old) - GER - 131/176
23831,Person,Presets,Dida (21 years old) - BRA - 161/186,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Dida (21 years old) - BRA - 161/186
19101,Person,Presets,Dino Zoff (22 years old) - ITA - 157/192,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Dino Zoff (22 years old) - ITA - 157/192
19094,Person,Presets,Edwin van der Sar (19 years old) - NED - 132/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Edwin van der Sar (19 years old) - NED - 132/182
19104,Person,Presets,Frantisek Planicka (26 years old) - CZE - 179/184,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Frantisek Planicka (26 years old) - CZE - 179/184
19102,Person,Presets,Gianluigi Buffon (19 years old) - ITA - 147/192,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Gianluigi Buffon (19 years old) - ITA - 147/192
19100,Person,Presets,Gordon Banks (23 years old) - ENG - 165/190,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Gordon Banks (23 years old) - ENG - 165/190
19115,Person,Presets,Gyula Grosics (24 years old) - HUN - 158/178,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Gyula Grosics (24 years old) - HUN - 158/178
19108,Person,Presets,Harald Schumacher (21 years old) - GER - 154/184,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Harald Schumacher (21 years old) - GER - 154/184
19095,Person,Presets,Iker Casillas (18 years old) - ESP - 139/184,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Iker Casillas (18 years old) - ESP - 139/184
19114,Person,Presets,Jan Oblak (17 years old) - SVN - 123/178,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Jan Oblak (17 years old) - SVN - 123/178
19243,Person,Presets,Jan Tomaszewski (22 years old) - POL - 140/170,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Jan Tomaszewski (22 years old) - POL - 140/170
19109,Person,Presets,Jean-Marie Pfaff (21 years old) - BEL - 144/184,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Jean-Marie Pfaff (21 years old) - BEL - 144/184
19246,Person,Presets,Jens Lehmann (20 years old) - GER - 123/168,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Jens Lehmann (20 years old) - GER - 123/168
19236,Person,Presets,José Luis Chilavert (20 years old) - PAR - 135/180,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > José Luis Chilavert (20 years old) - PAR - 135/180
19242,Person,Presets,Józef Młynarczyk (21 years old) - POL - 135/170,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Józef Młynarczyk (21 years old) - POL - 135/170
19118,Person,Presets,Júlio César (19 years old) - BRA - 129/174,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Júlio César (19 years old) - BRA - 129/174
19105,Person,Presets,Ladislao Mazurkiewicz (22 years old) - URU - 159/184,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Ladislao Mazurkiewicz (22 years old) - URU - 159/184
19090,Person,Presets,Lev Yashin (24 years old) - RUS - 169/194,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Lev Yashin (24 years old) - RUS - 169/194
19097,Person,Presets,Manuel Neuer (18 years old) - GER - 142/193,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Manuel Neuer (18 years old) - GER - 142/193
19239,Person,Presets,Marc-André ter Stegen (17 years old) - GER - 119/174,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Marc-André ter Stegen (17 years old) - GER - 119/174
19244,Person,Presets,Milutin Šoškić (23 years old) - KVX - 145/170,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Milutin Šoškić (23 years old) - KVX - 145/170
19116,Person,Presets,Neville Southall (21 years old) - WAL - 141/176,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Neville Southall (21 years old) - WAL - 141/176
19092,Person,Presets,Oliver Kahn (20 years old) - GER - 155/190,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Oliver Kahn (20 years old) - GER - 155/190
19110,Person,Presets,Pat Jennings (22 years old) - NIR - 152/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Pat Jennings (22 years old) - NIR - 152/182
19103,Person,Presets,Peter Schmeichel (20 years old) - DEN - 147/192,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Peter Schmeichel (20 years old) - DEN - 147/192
19106,Person,Presets,Peter Shilton (22 years old) - ENG - 161/186,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Peter Shilton (22 years old) - ENG - 161/186
19113,Person,Presets,Petr Cech (18 years old) - CZE - 130/180,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Petr Cech (18 years old) - CZE - 130/180
19099,Person,Presets,Ricardo Zamora (26 years old) - ESP - 175/190,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Ricardo Zamora (26 years old) - ESP - 175/190
19235,Person,Presets,Rinat Dasaev (21 years old) - RUS - 147/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Rinat Dasaev (21 years old) - RUS - 147/182
19237,Person,Presets,Ronnie Hellström (22 years old) - SWE - 155/180,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Ronnie Hellström (22 years old) - SWE - 155/180
19096,Person,Presets,Rudolf Hiden (26 years old) - FRA - 173/178,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Rudolf Hiden (26 years old) - FRA - 173/178
19245,Person,Presets,Rüştü Reçber (19 years old) - TUR - 125/170,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Rüştü Reçber (19 years old) - TUR - 125/170
19093,Person,Presets,Sepp Maier (22 years old) - GER - 154/184,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Sepp Maier (22 years old) - GER - 154/184
19120,Person,Presets,Taffarel (20 years old) - BRA - 134/174,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Taffarel (20 years old) - BRA - 134/174
19240,Person,Presets,Thibaut Courtois (17 years old) - BEL - 117/172,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Thibaut Courtois (17 years old) - BEL - 117/172
19238,Person,Presets,Thomas Ravelli (21 years old) - SWE - 150/180,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Thomas Ravelli (21 years old) - SWE - 150/180
19234,Person,Presets,Ubaldo Fillol (21 years old) - ARG - 152/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Ubaldo Fillol (21 years old) - ARG - 152/182
19241,Person,Presets,Uli Stein (21 years old) - GER - 137/172,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Uli Stein (21 years old) - GER - 137/172
19117,Person,Presets,Viliam Schrojf (23 years old) - SVK - 151/176,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Viliam Schrojf (23 years old) - SVK - 151/176
19111,Person,Presets,Vladimir Beara (24 years old) - CRO - 162/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Vladimir Beara (24 years old) - CRO - 162/182
19112,Person,Presets,Walter Zenga (20 years old) - ITA - 142/182,Lua,Person > > Presets > > Player > > Legend Players > > Goalkeepers (GK) > > Walter Zenga (20 years old) - ITA - 142/182
19255,Person,Presets,Alan Hansen (21 years old) - SCO - 138/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Alan Hansen (21 years old) - SCO - 138/178
19135,Person,Presets,Alessandro Nesta (19 years old) - ITA - 146/186,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Alessandro Nesta (19 years old) - ITA - 146/186
19256,Person,Presets,Billy Wright (24 years old) - ENG - 163/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Billy Wright (24 years old) - ENG - 163/178
19127,Person,Presets,Bobby Moore (22 years old) - ENG - 158/188,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Bobby Moore (22 years old) - ENG - 158/188
19151,Person,Presets,Carles Puyol (19 years old) - ESP - 135/180,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Carles Puyol (19 years old) - ESP - 135/180
19258,Person,Presets,Ciro Ferrara (20 years old) - ITA - 138/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Ciro Ferrara (20 years old) - ITA - 138/178
19137,Person,Presets,Claudio Gentile (21 years old) - ITA - 147/182,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Claudio Gentile (21 years old) - ITA - 147/182
19134,Person,Presets,Daniel Passarella (21 years old) - ARG - 151/186,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Daniel Passarella (21 years old) - ARG - 151/186
19271,Person,Presets,Diego Godín (18 years old) - URU - 124/174,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Diego Godín (18 years old) - URU - 124/174
19279,Person,Presets,Dimitar Penev (22 years old) - BUL - 138/168,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Dimitar Penev (22 years old) - BUL - 138/168
19254,Person,Presets,Domingos da Guia (25 years old) - BRA - 163/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Domingos da Guia (25 years old) - BRA - 163/178
19125,Person,Presets,Elías Figueroa (22 years old) - CHI - 163/188,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Elías Figueroa (22 years old) - CHI - 163/188
19139,Person,Presets,Fabio Cannavaro (19 years old) - ITA - 134/184,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Fabio Cannavaro (19 years old) - ITA - 134/184
19128,Person,Presets,Franco Baresi (20 years old) - ITA - 152/192,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Franco Baresi (20 years old) - ITA - 152/192
19273,Person,Presets,Frank de Boer (19 years old) - NED - 132/172,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Frank de Boer (19 years old) - NED - 132/172
19122,Person,Presets,Franz Beckenbauer (22 years old) - GER - 171/196,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Franz Beckenbauer (22 years old) - GER - 171/196
19126,Person,Presets,Gaetano Scirea (21 years old) - ITA - 153/188,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Gaetano Scirea (21 years old) - ITA - 153/188
19270,Person,Presets,Gerard Piqué (18 years old) - ESP - 124/174,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Gerard Piqué (18 years old) - ESP - 124/174
19264,Person,Presets,Gică Popescu (20 years old) - ROU - 133/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Gică Popescu (20 years old) - ROU - 133/178
19269,Person,Presets,Giorgio Chiellini (18 years old) - ITA - 124/174,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Giorgio Chiellini (18 years old) - ITA - 124/174
19143,Person,Presets,Giuseppe Bergomi (20 years old) - ITA - 142/182,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Giuseppe Bergomi (20 years old) - ITA - 142/182
19132,Person,Presets,Héctor Chumpitaz (22 years old) - PER - 154/184,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Héctor Chumpitaz (22 years old) - PER - 154/184
23837,Person,Presets,Hong Myung-Bo (21 years old) - KOR - 127/162,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Hong Myung-Bo (21 years old) - KOR - 127/162
19263,Person,Presets,Jaap Stam (19 years old) - NED - 133/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Jaap Stam (19 years old) - NED - 133/178
19249,Person,Presets,Jan Popluhar (23 years old) - SVK - 155/180,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Jan Popluhar (23 years old) - SVK - 155/180
19262,Person,Presets,John Terry (18 years old) - ENG - 128/178,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > John Terry (18 years old) - ENG - 128/178
19138,Person,Presets,José Nasazzi (26 years old) - URU - 172/182,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > José Nasazzi (26 years old) - URU - 172/182
19248,Person,Presets,José Santamaría (24 years old) - URU - 160/180,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > José Santamaría (24 years old) - URU - 160/180
19278,Person,Presets,Josip Katalinski (22 years old) - BIH - 138/168,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Josip Katalinski (22 years old) - BIH - 138/168
19145,Person,Presets,Jürgen Kohler (20 years old) - GER - 142/182,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Jürgen Kohler (20 years old) - GER - 142/182
19150,Person,Presets,Laurent Blanc (20 years old) - FRA - 140/180,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Laurent Blanc (20 years old) - FRA - 140/180
19275,Person,Presets,Leonardo Bonucci (18 years old) - ITA - 122/172,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Leonardo Bonucci (18 years old) - ITA - 122/172
19493,Person,Presets,Lúcio (19 years old) - BRA - 129/174,Lua,Person > > Presets > > Player > > Legend Players > > Central Defenders (DC) > > Lúcio (19 years old) - BRA - 129/174
